Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
9.320024,7.782514,6.983987,5.198684,3.376365E-05,10.79905,5.579531E-05
9.420026,7.674584,7.05438,5.089822,4.341224E-05,10.07982,5.354536E-05
9.520028,7.579278,7.113926,5.164518,5.254281E-05,9.328224,5.127479E-05
9.62003,7.499114,7.161005,5.334864,6.111139E-05,8.559652,4.902038E-05
9.720033,7.435322,7.195016,5.537816,6.904353E-05,7.774465,4.677793E-05
9.820035,7.388358,7.215915,5.732803,7.628246E-05,6.96996,4.452813E-05
9.920037,7.358216,7.223945,5.895543,8.275112E-05,6.144576,4.228851E-05
10.02004,7.344607,7.219482,6.012537,8.848179E-05,5.298896,4.006104E-05
10.12004,7.34706,7.202965,6.077179,9.341677E-05,4.435443,3.782815E-05
10.22004,7.364983,7.174843,6.087268,9.754696E-05,3.558174,3.560908E-05
10.32005,7.397694,7.135567,6.043503,0.0001008769,2.671985,3.341782E-05
10.42005,7.444453,7.085573,5.948554,0.0001034188,1.782306,3.124577E-05
10.52005,7.504474,7.02528,5.806465,0.0001051947,0.8947946,2.908954E-05
10.62005,7.578074,6.954203,6.119898,0.0001061976,0.3673969,2.695179E-05
10.72006,7.661911,6.874211,6.970602,0.0001064862,0.8682829,2.483766E-05
10.82006,7.743972,6.794313,7.666115,0.0001062637,1.891179,2.275711E-05
10.92006,7.814548,6.722392,8.09101,0.0001057001,3.140873,2.075663E-05
11.02006,7.867323,6.663968,8.297692,0.0001049386,4.481314,1.8847E-05
11.12006,7.897668,6.623247,7.843818,0.0001040674,5.473012,1.70406E-05
11.22007,7.907202,6.599771,6.748451,0.0001031325,5.399487,1.529126E-05
11.32007,7.907175,6.584675,5.817681,0.0001020031,4.832346,1.360175E-05
11.42007,7.906689,6.57038,5.190368,0.0001005776,4.088845,1.197885E-05
11.52007,7.91171,6.55189,4.814804,9.879645E-05,3.305163,1.042538E-05
11.62008,7.925589,6.526382,4.599244,9.663263E-05,2.530087,8.898849E-06
11.72008,7.949882,6.4925,4.465763,9.408524E-05,1.77544,7.416641E-06
11.82008,7.985059,6.449753,4.362002,9.118812E-05,1.04041,5.989231E-06
11.92008,8.030995,6.398114,4.257783,8.796504E-05,0.3218573,4.577253E-06
12.02009,8.087268,6.337776,4.138272,8.445734E-05,-0.3821485,3.245121E-06
12.12009,8.153316,6.269024,3.997949,8.07013E-05,-1.071692,1.991991E-06
12.22009,8.228523,6.192174,3.836379,7.675088E-05,-1.745391,7.730843E-07
